x	y	z
     2.464     -1.907    -13.656
     2.690      0.516    -14.560
     2.606     -1.281    -18.462
     2.523     -0.686    -14.722
     2.406     -1.855    -16.110
     2.451     -1.061    -14.872
     2.361     -1.162    -13.078
     2.459     -0.311    -12.791
     2.372     -0.728    -12.286
     2.431     -1.129    -15.376
     2.260     -1.487    -12.213
     2.417     -0.877    -14.514
     2.167     -0.679     -7.862
     2.637     -0.674    -21.047
     2.324     -1.012    -14.017
     2.101     -0.521     -6.681
     2.217     -0.788    -11.152
     2.193     -1.165    -11.970
     2.248     -1.162    -13.416
     2.236     -0.624    -11.427
     2.490     -1.309    -20.805
     2.291     -1.377    -15.819
     2.489     -0.212    -17.715
     2.184     -0.469    -10.374
     2.208     -1.261    -14.318
     2.242     -0.543    -13.038
     2.156     -0.481    -10.804
     2.320     -0.921    -16.887
     2.067     -1.351    -11.496
     2.049     -1.263    -10.722
     2.379     -0.867    -18.665
     2.073     -0.994    -10.865
     2.259     -0.760    -15.287
     2.039     -1.491    -12.590
     2.264     -1.246    -18.317
     2.203     -1.186    -16.559
     1.633     -0.635      1.299
     2.284     -0.786    -18.067
     2.225     -1.793    -20.243
     2.111     -0.737    -13.878
     2.039      0.104     -9.076
     2.191     -0.262    -14.782
     2.224     -0.765    -18.892
     2.065     -0.418    -13.080
     2.175     -1.049    -18.961
     2.005     -1.352    -15.126
     2.120     -1.441    -19.599
     2.176     -0.621    -18.647
     1.801     -0.997     -8.879
     2.082     -1.232    -18.548
     1.873      0.409     -6.890
     1.775      1.755      0.444
     1.809     -1.598    -11.690
     1.941     -1.401    -15.524
     2.007     -0.806    -15.697
     1.815      0.011     -8.113
     1.812     -1.580    -13.591
     1.901     -1.314    -15.664
     1.983     -1.248    -18.286
     1.860     -0.908    -13.664
     1.386     -0.723      2.085
     1.771     -1.294    -12.603
     1.937     -1.323    -18.506
     1.947     -0.581    -16.986
     1.822     -0.924    -14.051
     1.583     -0.490     -4.798
     1.934     -0.647    -17.623
     1.820     -0.085    -12.265
     1.763     -0.609    -12.440
     1.761     -1.239    -14.491
     1.711     -0.770    -11.305
     1.731     -0.191    -11.189
     1.991     -0.716    -22.097
     1.646      0.159     -7.819
     1.768      0.044    -12.802
     1.604     -1.018    -10.511
     1.683      0.246     -9.365
     1.789     -0.027    -14.794
     1.554     -0.723     -8.690
     1.915     -1.068    -23.361
     1.528      0.001     -8.490
     1.553     -1.033    -12.959
     1.659     -0.311    -14.981
     1.842     -1.055    -24.801
     1.746     -0.930    -20.837
     1.535     -0.769    -12.553
     1.587      0.176    -11.621
     1.638     -0.696    -16.659
     1.703     -1.342    -22.463
     1.644     -1.094    -19.936
     1.460     -0.242     -9.798
     1.588     -1.349    -19.625
     1.526     -0.298    -13.885
     1.622     -1.335    -21.273
     1.388     -0.434     -8.742
     1.620     -1.595    -22.309
     1.495     -0.911    -15.122
     1.602     -0.165    -17.246
     1.466     -0.174    -11.698
     1.516     -0.610    -15.324
     1.450     -0.180    -11.259
     1.529     -0.992    -17.502
     1.575     -1.721    -21.950
     1.531     -0.586    -16.731
     1.492     -0.346    -14.545
     1.546     -1.063    -19.327
     1.785     -0.199    -27.161
     1.443     -0.478    -13.558
     1.424     -0.649    -14.105
     1.447     -0.757    -15.671
     1.294     -0.754     -9.254
     1.477     -1.422    -19.524
     1.850     -0.105    -31.562
     1.428     -1.069    -16.207
     1.650     -0.651    -24.752
     1.733     -0.219    -27.367
     1.330     -1.229    -12.945
     1.411     -0.032    -13.005
     1.313     -0.569    -10.404
     1.490     -1.244    -21.268
     1.319     -0.878    -12.413
     1.373     -1.199    -16.068
     1.196     -0.825     -7.032
     1.409     -0.922    -17.594
     1.338     -1.298    -15.889
     1.345     -0.142    -13.893
     1.317     -1.529    -17.470
     1.435     -1.553    -24.351
     1.090     -0.966     -6.234
     1.213     -1.114    -12.838
     1.285     -0.937    -15.905
     1.211     -1.229    -13.315
     1.347     -1.463    -20.981
     1.224     -1.882    -16.325
     1.350     -1.572    -21.841
     1.340     -0.927    -19.249
     1.314     -2.282    -22.440
     1.375     -2.453    -26.177
     1.299     -1.571    -19.558
     1.190     -1.219    -13.820
     1.206     -0.238    -11.530
     1.347     -1.540    -23.059
     1.258     -0.716    -15.869
     1.139     -0.484     -9.767
     1.301     -0.947    -19.685
     1.112     -1.082    -10.583
     1.140     -0.925    -11.605
     1.253     -1.109    -18.527
     1.060     -1.030     -8.986
     0.932     -1.404     -3.611
     1.233      0.189    -14.705
     1.155     -0.975    -15.270
     1.097     -1.136    -12.726
     1.232     -1.035    -19.679
     1.213     -0.379    -16.984
     1.105      0.175     -9.368
     1.123     -0.023    -11.265
     1.147      0.259    -11.752
     1.181     -0.981    -18.438
     1.121     -0.843    -15.300
     0.414     -0.569     24.962
     1.064     -0.753    -12.369
     1.228     -0.778    -21.681
     1.530      0.019    -36.665
     1.194     -1.944    -24.055
     1.121     -1.670    -19.126
     1.036     -1.042    -12.532
     1.347     -2.296    -34.518
     1.022     -0.567    -10.337
     1.141     -0.071    -16.056
     1.387     -1.432    -35.007
     0.961     -0.539     -7.436
     1.236      0.334    -21.246
     1.016     -1.570    -14.645
     1.216     -0.954    -24.737
     1.239     -1.565    -28.157
     1.110     -0.061    -16.123
     0.918     -0.490     -6.230
     1.049     -1.056    -16.113
     1.391     -0.361    -34.531
     1.105     -0.284    -17.198
     1.078      0.160    -14.194
     1.051      0.092    -12.845
     1.149     -0.281    -20.011
     0.916     -0.116     -5.470
     1.016     -1.250    -15.829
     0.967     -1.069    -12.483
     1.126     -0.463    -20.279
     1.034     -1.349    -17.828
     1.086     -1.402    -21.388
     0.754     -0.268      2.563
     1.037     -1.324    -18.346
     1.021     -0.327    -14.240
     0.957     -1.414    -14.054
     1.043     -2.196    -22.180
     0.989     -1.044    -15.310
     0.970     -1.085    -14.327
     1.099     -0.558    -21.107
     1.029      0.276    -14.009
     1.011     -0.328    -14.952
     1.009      0.447    -12.562
     1.019     -1.005    -17.963
     1.027     -1.032    -18.575
     0.926     -0.615    -11.102
     0.946     -0.132    -10.821
     0.965      0.406    -10.327
     1.055     -1.312    -22.095
     1.029     -0.342    -17.338
     0.844     -0.385     -5.814
     1.121     -0.142    -23.138
     0.942     -0.277    -12.107
     1.003     -0.057    -16.363
     0.936     -1.436    -16.641
     1.006     -1.774    -22.540
     0.988     -0.321    -16.767
     1.008     -0.038    -17.245
     0.942     -0.301    -13.776
     0.942     -0.367    -14.176
     0.905     -0.219    -11.434
     0.875     -0.481    -10.457
     0.951      0.248    -13.185
     0.842     -0.195     -7.317
     0.996     -0.198    -17.940
     0.921      0.025    -12.204
     0.847     -1.275    -11.674
     0.942     -0.126    -14.448
     1.000     -0.571    -19.791
     0.966     -0.434    -17.108
     0.932     -0.780    -16.405
     0.972     -0.086    -16.961
     0.932     -0.105    -14.271
     0.965     -0.390    -17.474
     0.820      0.015     -6.395
     0.909     -0.429    -14.166
     0.914     -0.165    -13.773
     0.848     -0.103     -9.234
     0.988     -0.929    -21.712
     0.721     -1.000     -3.782
     0.901      0.395    -11.825
     1.033     -1.176    -26.372
     0.973     -0.106    -18.740
     0.905     -0.454    -15.114
     0.878      0.035    -11.965
     0.934      0.046    -16.554
     0.932     -0.546    -18.488
     0.911     -1.149    -19.048
     1.019     -0.120    -23.451
     0.615     -0.656      3.451
     0.818     -0.242     -9.913
     0.782      0.311     -5.573
     0.923     -1.999    -23.461
     0.923     -0.323    -18.755
     0.877     -2.063    -21.078
     0.874     -0.616    -16.152
     0.884     -0.094    -15.270
     0.835     -1.005    -14.711
     0.908      0.543    -15.125
     0.873     -0.439    -16.014
     0.833     -0.205    -12.349
     0.857     -0.169    -14.031
     0.701     -0.337     -3.123
     0.945     -0.149    -20.684
     0.868     -0.173    -15.046
     0.764     -0.197     -7.462
     0.795     -0.726    -11.482
     0.979     -0.431    -24.306
     0.890     -0.238    -17.077
     0.813      0.002    -10.603
     0.879     -0.138    -15.993
     0.596     -0.160      4.930
     0.871     -0.204    -15.806
     0.889     -1.125    -20.151
     0.905     -0.547    -19.628
     0.799     -0.644    -12.118
     0.896     -0.273    -18.150
     0.823     -0.120    -12.229
     0.842     -0.405    -15.270
     0.845      0.230    -13.792
     0.831     -0.125    -14.051
     0.859     -0.202    -16.871
     0.902     -1.393    -24.141
     0.806      0.138    -12.055
     0.888     -1.955    -25.329
     0.750     -0.291     -9.205
     0.801     -1.896    -18.653
     0.809     -0.190    -13.701
     0.827     -2.053    -21.309
     0.784      0.373    -10.135
     0.809     -0.297    -14.703
     0.780     -1.183    -15.484
     0.766     -0.741    -12.942
     0.773     -0.168    -11.748
     0.788      0.135    -11.946
     0.815     -0.022    -14.673
     0.814     -0.125    -14.956
     0.828     -0.075    -16.013
     0.790     -1.173    -16.566
     0.755      0.102     -9.579
     0.739      0.004     -8.733
     0.687     -1.239     -8.876
     0.815      0.198    -14.543
     0.842     -0.138    -17.787
     0.792     -1.329    -17.796
     0.745     -0.387    -11.300
     0.901      0.384    -21.438
     0.886     -0.421    -23.369
     0.802     -0.300    -16.284
     0.817     -0.945    -19.710
     0.679     -0.021     -5.526
     0.774     -0.185    -13.797
     0.768     -0.242    -13.734
     0.593     -0.000      1.318
     0.791     -0.413    -16.386
     0.759     -1.177    -16.317
     0.816     -0.197    -17.988
     0.753      0.058    -12.146
     0.893     -0.397    -25.168
     0.769     -0.263    -14.526
     0.824     -0.352    -19.421
     0.846      0.027    -19.980
     0.786     -0.331    -16.297
     0.758      0.044    -12.759
     0.714     -0.116     -9.615
     0.698     -0.071     -8.265
     0.763     -0.228    -14.159
     0.809     -0.609    -19.787
     0.867      0.287    -21.758
     0.723     -0.717    -13.041
     0.664     -1.467    -10.588
     0.853     -0.671    -23.956
     0.761     -0.171    -14.820
     0.717     -0.404    -11.891
     0.751     -0.245    -14.289
     0.669     -1.340    -11.130
     0.754     -0.271    -15.073
     0.708     -0.240    -11.290
     0.748     -0.116    -14.348
     0.758      0.215    -14.393
     0.885     -0.405    -27.386
     0.767     -1.805    -21.969
     0.743      0.230    -13.320
     0.742     -1.270    -18.207
     0.792     -0.493    -20.036
     0.729      0.136    -12.507
     0.787      0.094    -17.723
     0.779     -0.582    -19.417
     0.694      0.192     -9.468
     0.716     -0.454    -13.585
     0.644     -0.955     -9.135
     0.578      0.450      1.121
     0.758      0.170    -15.422
     0.748      0.186    -14.726
     0.656     -0.164     -8.347
     0.728     -0.565    -16.070
     0.705     -0.077    -12.455
     0.797     -1.365    -24.792
     0.749     -0.337    -17.344
     0.771     -0.190    -19.002
