ID d_V d_I
OGLE-LMC-CEP-0002 56.68382984404 56.7182502157017
OGLE-LMC-CEP-0005 51.5782890844253 51.6418158060274
OGLE-LMC-CEP-0012 49.8510561318786 49.9468872301819
OGLE-LMC-CEP-0017 59.5648430447559 59.6360530636113
OGLE-LMC-CEP-0018 52.137944875055 52.1793268347174
OGLE-LMC-CEP-0021 52.0549533636961 52.2522893805582
OGLE-LMC-CEP-0023 52.0714626278036 52.0309980435126
OGLE-LMC-CEP-0025 52.8006604120912 52.9776143110248
OGLE-LMC-CEP-0026 48.3670647999076 48.4495130910218
OGLE-LMC-CEP-0027 49.3144484343893 49.4384205515202
OGLE-LMC-CEP-0028 50.6183535313289 50.5999375630164
OGLE-LMC-CEP-0033 51.4514381504741 51.5290149749807
OGLE-LMC-CEP-0035 50.5692647726037 50.3546158717866
OGLE-LMC-CEP-0037 51.108108627063 51.0998837716523
OGLE-LMC-CEP-0039 53.1992661637487 53.3819526675844
OGLE-LMC-CEP-0040 48.7131829174277 48.6451162241279
OGLE-LMC-CEP-0041 50.4842748493256 50.5491610708267
OGLE-LMC-CEP-0042 51.0551189747893 51.171186579604
OGLE-LMC-CEP-0044 49.8318410448873 50.0095918558488
OGLE-LMC-CEP-0045 51.768120014441 51.7717748091488
OGLE-LMC-CEP-0046 49.4593112536453 49.6736672815189
OGLE-LMC-CEP-0048 48.0294121461917 48.1719133213686
OGLE-LMC-CEP-0049 51.3800726513277 51.2493943929018
OGLE-LMC-CEP-0050 49.1280179195846 49.160894254442
OGLE-LMC-CEP-0053 50.3924805740496 50.3882564854959
OGLE-LMC-CEP-0055 49.977325078354 50.0522263320481
OGLE-LMC-CEP-0056 51.8667247066954 51.6571833659423
OGLE-LMC-CEP-0058 50.6920820689566 50.6327638000477
OGLE-LMC-CEP-0059 48.9671646334726 48.3647428150739
OGLE-LMC-CEP-0060 51.008559757298 51.0605659759498
OGLE-LMC-CEP-0064 48.3257869995781 48.2873560995325
OGLE-LMC-CEP-0067 50.3938465751645 50.3887357269613
OGLE-LMC-CEP-0072 46.7565746608214 46.6868512166558
OGLE-LMC-CEP-0075 50.0888817072897 49.8840609284399
OGLE-LMC-CEP-0076 54.9976403579486 54.9650629023444
